Category,Program Name,Course ID,Opening Rank,Closing Rank,Institute Name
St,Mathematics,1804,2358,3900,IIT Roorkee 
St,Physics,1805,2270,4073,IIT Roorkee 
St,Chemistry,1901,3790,4670,IIT Bhubaneswar 
St,Mathematics,1902,3109,4239,IIT Bhubaneswar 
St,Physics,1903,1930,2300,IIT Bhubaneswar 
St,Geology,1904,230,379,IIT Bhubaneswar 
St,Atmosphere andOcean Sciences (CY),1905,6259,6926,IIT Bhubaneswar 
St,Atmosphere andOcean Sciences (PH),1905,4370,4789,IIT Bhubaneswar 
St,Chemistry,2001,4631,5243,IIT Gandhinagar 
St,Mathematics,2002,2498,3128,IIT Gandhinagar 
St,Physics,2003,4297,5896,IIT Gandhinagar 
St,Chemistry,2101,4083,5764,IIT Hyderabad 
St,Physics,2103,2378,2957,IIT Hyderabad 
St,Chemistry,2201,5000,5200,IIT Indore 
St,Physics,2202,4850,4870,IIT Indore 
